Swirler;Disc series;Pressure;Flow;Angle;Bore
LF0.8;LF 0,35;70;0,32;50;0,36
LF0.8;LF 0,30;70;0,27;52;0,31
LF0.8;LF 0,4;70;0,37;53;0,41
LF0.8;LF 0,5;70;0,51;63;0,52
LF0.8;LF 0,6;70;0,62;67;0,61
LF0.8;LF 0,7;70;0,72;74;0,72
LF0.8;LF 0,8;70;0,89;81;0,84
LF0.8;LF 0,9;70;0,98;82;0,93
LF0.8;LF 1,0;70;1,07;89;1,03
LF1.4;LF 0,30;70;0,32;47;0,31
LF1.4;LF 0,35;70;0,38;48;0,36
LF1.4;LF 0,4;70;0,44;48;0,41
LF1.4;LF 0,5;70;0,62;51;0,52
LF1.4;LF 0,6;70;0,79;61;0,61
LF1.4;LF 0,7;70;0,94;61;0,72
LF1.4;LF 0,8;70;1,10;69;0,84
LF1.4;LF 0,9;70;1,39;70;0,93
LF1.4;LF 1,0;70;1,54;72;1,03
LF2.0;LF 0,30;70;0,37;40;0,31
LF2.0;LF 0,35;70;0,43;43;0,36
LF2.0;LF 0,4;70;0,53;45;0,41
LF2.0;LF 0,5;70;0,74;48;0,52
LF2.0;LF 0,6;70;0,93;53;0,61
LF2.0;LF 0,7;70;1,19;58;0,72
LF2.0;LF 0,8;70;1,39;61;0,84
LF2.0;LF 1,0;70;1,78;64;1,03
LF2.0;LF 0,9;70;1,61;67;0,93
LF2.8;LF 0,4;70;0,59;34;0,41
LF2.8;LF 0,35;70;0,48;35;0,36
LF2.8;LF 0,5;70;0,83;42;0,52
LF2.8;LF 0,6;70;1,05;43;0,61
LF2.8;LF 0,30;70;0,48;44;0,31
LF2.8;LF 0,7;70;1,31;49;0,72
LF2.8;LF 0,8;70;1,64;51;0,84
LF2.8;LF 0,9;70;1,90;55;0,93
LF2.8;LF 1,0;70;2,19;61;1,03
LF0.8;LF 0,30;100;0,33;49;0,31
LF0.8;LF 0,35;100;0,37;50;0,36
LF0.8;LF 0,4;100;0,44;55;0,41
LF0.8;LF 0,5;100;0,60;62;0,52
LF0.8;LF 0,6;100;0,74;67;0,61
LF0.8;LF 0,7;100;0,85;71;0,72
LF0.8;LF 0,8;100;1,06;77;0,84
LF0.8;LF 0,9;100;1,16;81;0,93
LF0.8;LF 1,0;100;1,28;85;1,03
LF1.4;LF 0,30;100;0,38;44;0,31
LF1.4;LF 0,35;100;0,44;45;0,36
LF1.4;LF 0,4;100;0,52;48;0,41
LF1.4;LF 0,5;100;0,74;49;0,52
LF1.4;LF 0,6;100;0,95;55;0,61
LF1.4;LF 0,7;100;1,12;58;0,72
LF1.4;LF 0,9;100;1,67;68;0,93
LF1.4;LF 0,8;100;1,33;69;0,84
LF1.4;LF 1,0;100;1,84;70;1,03
LF2.0;LF 0,30;100;0,45;38;0,31
LF2.0;LF 0,35;100;0,51;40;0,36
LF2.0;LF 0,4;100;0,63;41;0,41
LF2.0;LF 0,5;100;0,88;41;0,52
LF2.0;LF 0,6;100;1,11;50;0,61
LF2.0;LF 0,7;100;1,43;51;0,72
LF2.0;LF 0,8;100;1,67;59;0,84
LF2.0;LF 0,9;100;1,95;61;0,93
LF2.0;LF 1,0;100;2,15;63;1,03
LF2.8;LF 0,35;100;0,58;34;0,36
LF2.8;LF 0,4;100;0,70;34;0,41
LF2.8;LF 0,5;100;0,98;39;0,52
LF2.8;LF 0,30;100;0,54;43;0,31
LF2.8;LF 0,6;100;1,26;43;0,61
LF2.8;LF 0,7;100;1,56;48;0,72
LF2.8;LF 0,8;100;1,96;49;0,84
LF2.8;LF 0,9;100;2,28;53;0,93
LF2.8;LF 1,0;100;2,63;56;1,03
LF0.8;LF 0,30;150;0,40;45;0,31
LF0.8;LF 0,35;150;0,45;47;0,36
LF0.8;LF 0,4;150;0,53;49;0,41
LF0.8;LF 0,5;150;0,73;54;0,52
LF0.8;LF 0,6;150;0,90;60;0,61
LF0.8;LF 0,7;150;1,04;66;0,72
LF0.8;LF 0,8;150;1,31;73;0,84
LF0.8;LF 0,9;150;1,41;74;0,93
LF0.8;LF 1,0;150;1,56;82;1,03
LF1.4;LF 0,30;150;0,46;39;0,31
LF1.4;LF 0,35;150;0,54;43;0,36
LF1.4;LF 0,4;150;0,63;43;0,41
LF1.4;LF 0,5;150;0,90;48;0,52
LF1.4;LF 0,6;150;1,15;52;0,61
LF1.4;LF 0,7;150;1,39;55;0,72
LF1.4;LF 0,8;150;1,64;63;0,84
LF1.4;LF 0,9;150;2,04;63;0,93
LF1.4;LF 1,0;150;2,26;63;1,03
LF2.0;LF 0,30;150;0,54;32;0,31
LF2.0;LF 0,35;150;0,62;37;0,36
LF2.0;LF 0,4;150;0,76;37;0,41
LF2.0;LF 0,5;150;1,08;41;0,52
LF2.0;LF 0,6;150;1,36;43;0,61
LF2.0;LF 0,7;150;1,75;48;0,72
LF2.0;LF 0,8;150;2,06;54;0,84
LF2.0;LF 0,9;150;2,40;56;0,93
LF2.0;LF 1,0;150;2,64;58;1,03
LF2.8;LF 0,30;150;0,60;31;0,31
LF2.8;LF 0,35;150;0,70;31;0,36
LF2.8;LF 0,4;150;0,86;31;0,41
LF2.8;LF 0,5;150;1,20;33;0,52
LF2.8;LF 0,6;150;1,54;38;0,61
LF2.8;LF 0,7;150;1,91;43;0,72
LF2.8;LF 0,8;150;2,39;44;0,84
LF2.8;LF 0,9;150;2,80;47;0,93
LF2.8;LF 1,0;150;3,23;50;1,03
LF0.8;LF 0,35;200;0,51;40;0,36
LF0.8;LF 0,30;200;0,46;43;0,31
LF0.8;LF 0,4;200;0,61;44;0,41
LF0.8;LF 0,6;200;1,04;52;0,61
LF0.8;LF 0,5;200;0,84;53;0,52
LF0.8;LF 0,7;200;1,21;65;0,72
LF0.8;LF 0,8;200;1,51;70;0,84
LF0.8;LF 0,9;200;1,64;73;0,93
LF0.8;LF 1,0;200;1,80;81;1,03
LF1.4;LF 0,30;200;0,54;34;0,31
LF1.4;LF 0,35;200;0,64;35;0,36
LF1.4;LF 0,4;200;0,73;40;0,41
LF1.4;LF 0,5;200;1,04;43;0,52
LF1.4;LF 0,6;200;1,33;47;0,61
LF1.4;LF 0,7;200;1,61;50;0,72
LF1.4;LF 0,9;200;2,35;61;0,93
LF1.4;LF 0,8;200;1,90;63;0,84
LF1.4;LF 1,0;200;2,61;63;1,03
LF2.0;LF 0,30;200;0,62;31;0,31
LF2.0;LF 0,35;200;0,71;34;0,36
LF2.0;LF 0,4;200;0,88;34;0,41
LF2.0;LF 0,5;200;1,24;40;0,52
LF2.0;LF 0,6;200;1,57;42;0,61
LF2.0;LF 0,7;200;2,03;44;0,72
LF2.0;LF 0,8;200;2,38;47;0,84
LF2.0;LF 0,9;200;2,77;54;0,93
LF2.0;LF 1,0;200;3,04;57;1,03
LF2.8;LF 0,30;200;0,69;27;0,31
LF2.8;LF 0,35;200;0,81;28;0,36
LF2.8;LF 0,4;200;0,99;28;0,41
LF2.8;LF 0,5;200;1,38;31;0,52
LF2.8;LF 0,6;200;1,77;39;0,61
LF2.8;LF 0,7;200;2,21;40;0,72
LF2.8;LF 0,8;200;2,75;43;0,84
LF2.8;LF 0,9;200;3,26;47;0,93
LF2.8;LF 1,0;200;3,75;47;1,03
LF0.8;LF 0,30;250;0,52;40;0,31
LF0.8;LF 0,35;250;0,57;40;0,36
LF0.8;LF 0,4;250;0,68;43;0,41
LF0.8;LF 0,5;250;0,94;50;0,52
LF0.8;LF 0,6;250;1,16;51;0,61
LF0.8;LF 0,7;250;1,35;65;0,72
LF0.8;LF 0,8;250;1,68;70;0,84
LF0.8;LF 0,9;250;1,82;72;0,93
LF0.8;LF 1,0;250;2,01;80;1,03
LF1.4;LF 0,30;250;0,60;31;0,31
LF1.4;LF 0,35;250;0,71;31;0,36
LF1.4;LF 0,4;250;0,81;40;0,41
LF1.4;LF 0,5;250;1,15;40;0,52
LF1.4;LF 0,6;250;1,49;48;0,61
LF1.4;LF 0,7;250;1,80;51;0,72
LF1.4;LF 0,9;250;2,62;61;0,93
LF1.4;LF 1,0;250;2,90;61;1,03
LF1.4;LF 0,8;250;2,12;63;0,84
LF2.0;LF 0,35;250;0,79;30;0,36
LF2.0;LF 0,30;250;0,70;31;0,31
LF2.0;LF 0,6;250;1,75;34;0,61
LF2.0;LF 0,4;250;0,98;35;0,41
LF2.0;LF 0,5;250;1,39;37;0,52
LF2.0;LF 0,7;250;2,27;43;0,72
LF2.0;LF 0,8;250;2,66;45;0,84
LF2.0;LF 0,9;250;3,09;54;0,93
LF2.0;LF 1,0;250;3,38;57;1,03
LF2.8;LF 0,30;250;0,77;27;0,31
LF2.8;LF 0,35;250;0,91;28;0,36
LF2.8;LF 0,4;250;1,10;28;0,41
LF2.8;LF 0,5;250;1,54;31;0,52
LF2.8;LF 0,6;250;1,97;37;0,61
LF2.8;LF 0,7;250;2,47;40;0,72
LF2.8;LF 1,0;250;4,20;42;1,03
LF2.8;LF 0,8;250;3,08;43;0,84
LF2.8;LF 0,9;250;3,63;45;0,93
